summary_llmanswer,ground_truth,question,llm_answer
D,D,"a pen tester sends an unsolicited e-mail to several users in the target organization . the e-mail is well crafted and appears to be from the company ’ s help desk , advising users of potential network problems . the e-mail provides a contact number to call in the event a user is adversely affected . the pen tester then performs a denial of service on several systems and receives phone calls from users asking for assistance . which social engineering practice is in play here ? a . technical support b. impersonation c. phishing d. reverse social engineering","the correct answer is d. this may turn out to be a somewhat confusing question for some folks , but it ’ s actually pretty easy . reverse social engineering involves three steps . first , in the marketing phase , an attacker advertises himself as a technical point of contact for problems that may be occurring soon . second , in the sabotage phase , the attacker performs a denial of service or other attack on the user . third , in the tech support phase , the user calls the attacker and freely hands over information , thinking they are being assisted by the company ’ s technical support team . as an aside , there are two things to remember about employing this social engineering practice in the real world . first , be sure to market to the appropriate audience : attempting this against it staff probably won ’ t work as well as the “ average ” user and may get you caught . second , and perhaps more important , you ’ ll need to remember that the more lies you tell , the more things you have to make true . complexity is risky , and reverse social engineering involves a lot of complexity . it ’ s best used in special cases , and then only if you can ’ t find something else to do ."
C,C,"a pen test member has gained access to a building and is observing activity as he wanders around . in one room of the building , he stands just outside a cubicle wall opening and watches the onscreen activity of a user . which social engineering attack is in use here ? a. eavesdropping b. tailgating c. shoulder surfing d. piggybacking","the correct answer is c. this one is so easy i hope you maintain your composure and stifle the urge to whoop and yell in the test room . shoulder surfing doesn ’ t necessarily require you to actually be on the victim ’ s shoulder—you just have to be able to watch their onscreen activity . i once shoulder surfed in front of someone ( a mirror behind her showed her screen clear as day ) . you don ’ t even really need to be close to the victim—there are plenty of optics that can zoom in a field of vision from a very long distance away . as an aside , in the real world , if you are close enough to see someone ’ s screen , you ’ re probably close enough to listen to them as well . ec-council puts the emphasis of shoulder surfing on the visual aspect—eavesdropping would be auditory ."
A,A,"a recent incident investigated by the local ir team involved a user receiving an e-mail that appeared to be from the u.s . postal service , notifying her of a package headed her way and providing a link for tracking the package . the link provided took the user to what appeared to be the usps site , where she input her user information to learn about the latest shipment being delivered . which attack did the user fall victim to ? a. phishing b. internet level c. reverse social engineering d. impersonation","the correct answer is a. phishing is one of the most pervasive and effective social engineering attacks on the planet . it ’ s successful because crafting a legitimate-looking e-mail that links a user to an illegitimate site or malware package is easy to do . what ’ s more , the e-mail is easy to spread , and it preys on our human nature to trust . if the source of the e-mail looks legitimate or the layout looks legitimate , most people will click away without even thinking about it . phishing e-mails can often include pictures lifted directly off the legitimate website and use creative means of spelling that aren ’ t easy to spot : www .regions.com is a legitimate bank website that could be spelled in a phishing e-mail as www.regi0ns.com . when it comes to real-world use of phishing by ethical hackers and pen testers , there are a couple items of note : first , phishing has an extreme liability aspect to it when spoofing a legitimate business . if you ’ re pen testing an organization and phish using a variant of a real business name , you could be opening yourself up to some serious costs : the first time someone calls the real regions bank to complain is the moment that the attacker just became liable for the costs associated with the attack . second is the risk involved with people simply forwarding your phishing attempt to recipients you never intended , allowing it to take on a life of its own . in short , the pen tester will certainly limit the bait ( malware or website link embedded in the phishing attempt ) , but they will have no control over what a user decides to do with the e-mail . suppose the pen tester doesn ’ t know the exact ip range or makes a simple mistake in the configuration of the malware , and a user sends it home . or to a banking friend . or to the fbi . or to a friend who works on a dod system . now you ’ ve not only hooked the wrong fish but maybe infected something in the government . that ’ s nothing to joke about , and it may be a lot worse than a simple mistake . the bottom line is , in the real world , phishing is dangerous if not planned and implemented almost perfectly , and pen test teams need to use extreme caution in implementing it ."
B,B,"which type of social engineering attack uses phishing , pop-ups , and irc channels ? a . technical b . computer based c. human based d. physical","the correct answer is b . all social engineering attacks fall into one of two categories : human based or computer based . computer-based attacks are those carried out with the use of a computer or other data-processing device . some examples are fake pop-up windows , sms texts , e-mails , and chat rooms or services . social media sites ( such as facebook and linkedin ) are consistent examples as well , and spoofing entire websites isn ’ t out of the realm of possibility here either ."
B,B,"an attacker identifies a potential target and spends some time profiling her . after gaining some information , the attacker sends a text to the target ’ s cell phone . the text appears to be from the user ’ s bank and advises her to call a provided phone number immediately regarding her account information . she dials the number and provides sensitive information to the attacker , who is posing as a bank employee . which of the following best defines this attack ? a. vishing b. smishing c. phishing d. tishing","the correct answer is b. aren ’ t you excited to have another memorization term added to your ceh vocabulary ? in smishing ( for sms text-based phishing ) , the attacker sends sms text messages crafted to appear as legitimate security notifications , with a phone number provided . the user unwittingly calls the number and provides sensitive data in response"
D,D,which of the following constitutes the highest risk to the organization ? a. black-hat hacker b. white-hat hacker c. gray-hat hacker d. disgruntled employee,"the correct answer is d. when we consider security measures , most of our attention is usually aimed outside the company , because that ’ s where all the bad guys are , right ? unfortunately , this line of thinking leads to all sorts of exposure , for many reasons , and it ’ s more common than you might think . a disgruntled employee is still an employee , after all , which leads to the main reason they ’ re so dangerous : location . they are already inside the network . inside attacks are generally easier to launch , are more successful , and are harder to prevent . when you add the human element of having an axe to grind , this can boil over quickly—whether or not the employee has the technical knowledge to pull off the attack . the idea that someone wanting to do harm to our organization ’ s network not only already has the access to do so but has it because we gave it to them and we ’ re not watching them should be frightening to us all ."
D,D,"after observing a target organization for several days , you discover that finance and hr records are bagged up and placed in an outside storage bin for later shredding/recycling . one day you simply walk to the bin and place one of the bags in your vehicle , with plans to rifle through it later . which social engineering attack was used here ? a. offline b . physical c. piggybacking d. dumpster diving","the correct answer is d. dumpster diving doesn ’ t necessarily mean you ’ re actually taking a header into a dumpster outside . it could be any waste canister , in any location , and you don ’ t even have to place any more of your body in the canister than you need to extract the old paperwork with . and you ’ d be amazed what people just throw away without thinking about it : password lists , network diagrams , employee name and number listings , and financial documents are all examples . lastly , don ’ t forget that ec-council defines this as a passive activity . sure , in the real world , you run a real risk of discovery and questioning by any number of the organization ’ s staff , but on your exam it ’ s considered passive ."
B,B,"an attacker waits outside the entry to a secured facility . after a few minutes an authorized user appears with an entry badge displayed . he swipes a key card and unlocks the door . the attacker , with no display badge , follows him inside . which social engineering attack just occurred ? a. tailgating b. piggybacking c. identity theft d. impersonation","the correct answer is b . this is one of those questions that just drives everyone batty—especially people who actually perform pen tests for a living . does knowing that gaining entry without flashing a fake id badge of any kind is called piggybacking make it any easier or harder to pull off ? i submit having two terms for what is essentially the same attack , separated by one small detail , is a bit unfair , but there ’ s not a whole lot we can do about it . if it makes it easier to memorize , just keep in mind that pigs wouldn ’ t wear a badge—they don ’ t have any clothes to attach it to ."
C,C,tim is part of a pen test team and is attempting to gain access to a secured area of the campus . he stands outside a badged entry gate and pretends to be engaged in a contentious cell phone conversation . an organization employee walks past and badges the gate open . tim asks the employee to hold the gate while flashing a fake id badge and continuing his phone conversation . he then follows the employee through the gate . which of the following best defines this effort ? a . shoulder surfing b. piggybacking c. tailgating d. drafting,"the correct answer is c. this type of question is so annoying i added it twice , back to back , in this chapter—almost as if i was nearly certain you ’ ll see it on your exam . tailgating involves following someone through an open door or gate just like piggybacking does ; however , in tailgating , a fake identification badge of some sort is used . as an aside , if your exam question does not include both terms—tailgating and piggybacking—but the effort is the same ( an attacker following a badged employee through a gate or door ) , you won ’ t have to choose between them . usually , in this case , tailgating will be used more frequently than piggybacking ."
"A,B,D","A,B,D",which of the following may be effective countermeasures against social engineering ? ( choose all that apply . ) a . security policies b . operational guidelines c. appropriately configured ids d. user education and training e. strong firewall configuration,"the correct answer is a , b , d. ecc identifies several countermeasures against social engineering , but in the real world , none of them ( by themselves or grouped ) is really the key . the problem with most countermeasures against social engineering is they ’ re almost totally out of your control . sure , you can draft strong policy requiring users to comply with security measures , implement guidelines on everything imaginable to reduce risks and streamline efficiency , and hold educational briefings and training sessions for each and every user in your organization , but when it comes down to it , it ’ s the user who has to do the right thing . all countermeasures for social engineering have something to do with the users themselves because they are the weak link here ."
"A,B,C,D","A,B,C,D",which of the following are indicators of a phishing e-mail ? ( choose all that apply . ) a . it does not reference you by name . b . it contains misspelled words or grammatical errors . c. it contains spoofed links . d. it comes from an unverified source .,"the correct answer is a , b , c , d. one of the objectives ec-council has kept around in its many ceh versions is , and i quote , to “ understand phishing attacks. ” part of the official curriculum to study for the exam covers detecting phishing e-mail in depth , and all of these answers are indicators an e-mail might not be legitimate . first , most companies now sending e-mail to customers will reference you by name and sometimes by account number . an e-mail starting with “ dear customer ” or something to that effect may be an indicator something is amiss . misspellings and grammatical errors from a business are also usually dead giveaways because companies do their best to proofread items before they are released . there are , occasionally , some slipups ( internet search some of these ; they ’ re truly funny ) , but those are definitely the exception and not the rule . spoofed links can be found by hovering a mouse over them ( or by looking at their properties ) . the link text may read www.yourbank.com , but the hyperlink properties will be sending you to some ip address you don ’ t want to go to . and finally , any e-mail coming from an “ unverified source ” can and should be viewed with caution . what makes something an unverified source ? that depends on the eye of the beholder . in many cases , it ’ s simply an address ( or person ) you don ’ t know or haven ’ t seen before . in others it ’ s a very close representation of an e-mail address you ’ d recognize , but turns out to be malicious . in any of these cases , your best bet for personal and organizational security is this : don ’ t click it . it shouldn ’ t matter to you who the e-mail is from , whether it ’ s grammatically perfect , and the links look legitimate—just put yourself in the habit of not clicking links in e-mail at all . trust me , you and your organization will be safer . as an aside , while these are all great answers to a question on an exam , don ’ t let them dictate your day-to-day internet life outside of your exam . a perfectly written , grammatically correct e-mail containing real links and originating from someone you trust could still be part of a phishing campaign . never click a link in an e-mail without knowing exactly what it is and where it ’ s taking you—no matter who you think the message is from or how well written it is . finally , if you get a phishing e-mail that is accurate , references you by name , has real links , and truly appears to be accurate , you probably have a real problem on your hands . everyone gets the annoying “ spam ” e-mails with “ click here for free stuff. ” however , if you get one that is delivered to you , with your name and identifying details in it , you have someone who spent the time to target you specifically , not randomly ."
C,C,you are discussing physical security measures and are covering background checks on employees and policies regarding key management and storage . which type of physical security measures are being discussed ? a . physical b . technical c. operational d. practical,"the correct answer is c. physical security has three major facets : physical measures , technical measures , and operational measures . operational measures ( sometimes referred to as procedural controls ) are the policies and procedures you put into place to assist with security . background checks on employees and any kind of written policy for operational behaviors are prime examples ."
"B,C","B,C",which of the following resources can assist in combating phishing in your organization ? ( choose all that apply . ) a. phishkill b. netcraft c. phishtank d. ida pro,"the correct answer is b , c. for obvious reasons , there are not a lot of questions from these objectives concerning tools—mainly because social engineering is all about the human side of things , not necessarily using technology or tools . however , you can put into place more than a few protective applications to help stem the tide . there are innumerable e-mail-filtering applications and appliances you can put on an e-mail network boundary to cut down on the vast amount of traffic ( spam or otherwise ) headed to your network . additionally , netcraft ’ s phishing toolbar and phishtank are two client-side , host-based options you can use ( there are others , but these are pointed out specifically in ec-council ’ s official courseware ) . netcraft ’ s ( url and phishtank ’ s ( www.phishtank.com/ ) toolbars are like neighborhood watches on virtual steroids , where eagle-eyed neighbors can see suspicious traffic and alert everyone else . the following is from the netcraft site : “ once the first recipients of a phishing mail have reported the target url , it is blocked for community members as they subsequently access the url. ” these tools , although useful , are not designed to completely protect against phishing . much like antivirus software , they will act on attempts that match a signature file . this , sometimes , makes it even easier on the attacker—because they know which phishing will not work right off the bat ."
D,D,"an attacker targets a specific group inside the organization . after some time profiling the group , she notes several websites the individual members of the group all visit on a regular basis . she spends time inserting various malware and malicious code into some of the more susceptible websites . within a matter of days , one of the group member ’ s system installs the malware from an infected site , and the attacker uses the infected machine as a pivot point inside the network . which of the following best defines this attack ? a . spear phishing b. whaling c. web-ishing d. watering hole attack","the correct answer is d. have you ever watched nature documentaries on the discovery channel ? it seems predators frequently hang out in places where the prey tends to show up . for example , a pride of lions might just hang out near a watering hole—knowing full well their prey will eventually just come to them . this attack uses the same principle , except we ’ re talking about the virtual world . and none of us are lions ( at least not outside our imaginations , anyway ) . in a watering hole attack , the bad guy spends a lot of time profiling the group that is being targeted ( note the key wording in this is that a group is targeted , not an individual ) . the attacker can observe or even guess websites the group would visit , and then infect those sites with some sort of malware or malicious code . eventually , someone from the group will visit the virtual watering hole and—voilà—success ."
C,C,"which type of social engineering makes use of impersonation , dumpster diving , shoulder surfing , and tailgating ? a . physical b . technical c. human based d. computer based","the correct answer is c. once again , we ’ re back to the two major forms of social engineering : human based and computer based . human-based attacks include all the attacks mentioned here and a few more . human-based social engineering uses interaction in conversation or other circumstances between people to gather useful information . this can be as blatant as simply asking someone for their password or pretending to be a known entity ( authorized user , tech support , or company executive ) in order to gain information ."
B,B,"in examining the about us link in the menu of a target organization ’ s website , an attacker discovers several different individual contacts within the company . to one of these contacts , she crafts an e-mail asking for information that appears to come from an individual within the company who would be expected to make such a request . the e-mail provides a link to click , which then prompts for the contact ’ s user id and password . which of the following best describes this attack ? a. trojan e-mailing b . spear phishing c. social networking d. operational engineering","the correct answer is b . yes , sometimes you ’ ll get an easy one . phishing is using e-mail to accomplish the social engineering task . spear phishing is actually targeting those e-mails to specific individuals or groups within an organization . this usually has a much higher success rate than just a blind-fire phishing effort ."
B,B,a security admin has a control in place that embeds a unique image into e-mails on specific topics in order to verify the message as authentic and trusted . which antiphishing method is being used ? a. steganography b. sign-in seal c. pki d. captcha,"the correct answer is b. sign-in seal is an e-mail protection method in use at a variety of business locations . the practice is to use a secret message or image that can be referenced on any official communication with the site . if you receive an e-mail purportedly from the business but it does not include the image or message , you ’ re aware it ’ s probably a phishing attempt . this sign-in seal is kept locally on your computer , so the theory is that no one can copy or spoof it ."
"A,B,C,D","A,B,C,D",which of the following should be in place to assist as a social engineering countermeasure ? ( choose all that apply . ) a . classification of information b . strong security policy c. user education d. strong change management process,"the correct answer is a , b , c , d. all of the answers are correct , but let ’ s get this out of the way up front : you ’ ll never be able to put anything whatsoever into place that will effectively render all social engineering attacks moot . you can do some things to limit them , and those on this list can definitely help in that regard , but an organization that responds to social engineering concerns with “ we have a strong security policy and great user education ” is probably one that ’ ll see a high turnover rate . classification of information is seen as a strong countermeasure because the information—and access to it—is stored and processed according to strict definitions of sensitivity . in the government/dod world , you ’ d see labels such as confidential , secret , and top secret . in the commercial world , you might see public , sensitive , and confidential . i could write an entire chapter on the difference between dod and commercial labels and argue the finer points of various access control methods , but we ’ ll stick just to this chapter and what you need here . as a side note , classification of information won ’ t do you a bit of good if the enforcement of access to that information , and the protection of it in storage or transit , is lax . strong security policy has been covered earlier in the chapter , so i won ’ t waste much print space here on it . you must have a good one in place to help prevent a variety of security failures ; however , you can ’ t rely on it as a countermeasure on its own . according to ec-council , user education is not only a viable social engineering countermeasure but it ’ s the best measure you can take . anyone reading this book who has spent any time at all trying to educate users on a production , enterpriselevel network is probably yelling right now because results can sometimes be spotty at best . however , the weak point in the chain is the user , so we must do our best to educate users on what to look for and what to do when they see it . there simply is no better defense than a well-educated user ( and by “ well-educated ” i mean a user who absolutely refuses to participate in a social engineering attempt ) . there ’ s just not that many of them out there . a change management process helps to organize alterations to a system or organization by providing a standardized , reviewable process to any major change . in other words , if you allow changes to your financial system , it services , or hr processes without any review or control process , you ’ re basically opening pandora ’ s box . change can be made on a whim ( sometimes at the behest of a social engineer , maybe ? ) , and there ’ s no control or tracking of it ."
D,D,joe uses a user id and password to log in to the system every day . jill uses a piv card and a pin . which of the following statements is true ? a. joe and jill are using single-factor authentication . b. joe and jill are using two-factor authentication . c. joe is using two-factor authentication . d. jill is using two-factor authentication .,"the correct answer is d. when it comes to authentication systems , you can use three factors to prove your identity : something you know , something you have , and something you are . an item you know is , basically , a password or pin . something you have is a physical token of some sort—usually a smartcard—that is presented as part of the authentication process . something you are relates to biometrics—a fingerprint or retinal scan , for instance . generally speaking , the more factors you have in place , the better ( more secure ) the authentication system . in this example , joe is using only something he knows , whereas jill is using something she has ( piv card ) and something she knows ( pin ) ."
A,A,a system owner has implemented a retinal scanner at the entryway to the data floor . which type of physical security measure is this ? a . technical b . single factor c. computer based d. operational,"the correct answer is a . physical security measures are characterized as physical ( door locks and guards ) , operational ( policies and procedures ) , and technical ( authentications systems and permissions ) . this example falls into the technical security measure category . sure , the door itself is physical , but the question centers on the biometric system , which is clearly technical in origin ."
B,B,which of the following is the best representation of a technical control ? a . air conditioning b . security tokens c. automated humidity control d. fire alarms e. security policy,"the correct answer is b . all security controls are put into place to minimize , or to avoid altogether , the probability of a successful exploitation of a risk or vulnerability . logical controls ( logical is the other term used for technical ) do this through technical , systemdriven means . examples include security tokens , authentication mechanisms , and antivirus software ."
B,B,"which of the following best describes pharming ? a . an attacker redirects victims to a malicious website by sending an e-mail that provides a url that appears to be legitimate . b . an attacker redirects victims to a malicious website by modifying their host configuration file or by exploiting vulnerabilities in dns . c. an attacker targets specific members of an organization based on their duties , roles , or responsibilities . d. an attacker inserts malicious code and malware into sites employees visit on a regular basis .","the correct answer is b. i ’ m convinced there are folks who sit around doing nothing more than dreaming up new terminology , acronyms , and slang for all of us to remember , and pharming falls into this category . pharming has the same end goal as most other attacks— redirecting folks to malicious websites in hopes of stealing something from them . the method in which it ’ s done involves updating hosts files and manipulating dns to point them to a malicious site ."
C,C,incident response ( ir ) is an important part of organizational security . in what step of the incident-handling process would ir team members disable or delete user accounts and change firewall rules ? a . detection and analysis b . classification and prioritization c. containment d. forensic investigation,"the correct answer is c. in a refrain you ’ ve heard over and over again throughout this book , sometimes real life and ec-council don ’ t see eye to eye . however , when it comes to ir , ecc kind of gets it right . almost . lots of organizations define the incident-handling response in different ways , with different phases for actions taken . generally speaking , though , all incident handling falls into four sets of actions : identify , contain , eradicate , and recover . most organizations will define a preparation phase beforehand and a lessons learned phase at the end for a full incident process . ecc defines eight phases : • preparation defining rules , processes , and toolsets and then testing them ( usually with some regularly scheduled exercises , at a minimum ) occur in this phase . • detection and analysis this is where alerting functions ( toolsets , ids , ips , users notifying of strange events , and so on ) and initial research into the event take place . • classification and prioritization decision making on whether to elevate as an incident and at what level to elevate is made here ( ramping up an ir event for a false alarm serves no one ) . levels of categorization vary from organization to organization , but usually assign response time frames to levels . • notification alerting appropriate teams and organizations to assist in the event occurs here . • containment steps to contain the incident occur here . these may include steps to revoke or suspend user accounts and blocking system or even subnet access via a firewall or other method . • forensic investigation in this stage , if possible , live memory and disk captures are pulled for evaluation and analysis . this does not have to wait until the conclusion of the event , but , depending on the assets involved and the nature of the incident , forensics may have to wait . • eradication and recovery this phase encompasses all the steps taken to remove the incident cause ( malware , malicious code , backdoors , rootkits , viruses , and so on ) and to return the assets involved to baseline standards before putting them back into production . • post-incident this is where reporting , follow-up analysis , and lessons learned are put together . evaluation from this step is fed into the preparation phase for the next event . questions on incident response and incident handling can be pretty vague . for the most part , common sense should guide you on anything truly weird , but most questions will be like this one—fairly easy to figure out on your own . one last note here : the four phases listed at the beginning of this answer description will more than likely be what you ’ ll see on the exam , so when in doubt , i would stick with them ."
B,B,"a software company puts an application through stringent testing and , on the date of release , is confident the software is free of known vulnerabilities . an organization named bigbiz purchases the software at a premium cost , with a guarantee of service , maintenance , and liability . which risk management method is in use by the bigbiz organization ? a . accept b . transfer c. avoid d. mitigate","the correct answer is b . depending on who you talk to , there are as many as seven different methods in risk management . of primary concern for you and ec-council , however , are these four : accept , avoid , transfer , and mitigate . in this example , the organization has paid a cost to the software developer , trusting them that they ’ ve tested the software and that they will assume responsibility and liability for it . in effect , the organization has transferred the risk to the software company for this application . transferring risk is all about finding a different entity to take responsibility for managing the risk , as well as accepting the liability of an exploitation or loss resulting from the risk ."
"A,C,D","A,C,D",which of the following provide automated pen-test-like results for an organization ? ( choose all that apply . ) a. metasploit b. nessus c. core impact d. canvas e. saint f. gfi languard,"the correct answer is a , c , d. automated tool suites for pen testing can be viewed as a means to save time and money by the client ’ s management , but ( in my opinion and in the real world , at least ) these tools don ’ t do either . they do not provide the same quality results as a test performed by security professionals , and they are extremely expensive . automated tools can provide a lot of genuinely good information , but they are also susceptible to false positives and false negatives and don ’ t necessarily care what your agreed-upon scope says is your stopping point . metasploit has a free , open source version and an insanely expensive “ pro ” version for developing and executing exploit code against a remote target machine—still worlds cheaper than core impact , but expensive nonetheless . metasploit offers an autopwn module that can automate the exploitation phase of a penetration test . core impact is probably the best-known , all-inclusive automated testing framework . per its website ( url core impact “ takes security testing to the next level by safely replicating a broad range of threats to the organization ’ s sensitive data and mission-critical infrastructure—providing extensive visibility into the cause , effect , and prevention of data breaches. ” core impact tests everything from web applications and individual systems to network devices and wireless . per the immunity security website ( www.immunitysec.com ) , canvas “ makes available hundreds of exploits , an automated exploitation system , and a comprehensive , reliable exploit development framework to penetration testers and security professionals. ” additionally , the company claims canvas ’ s reference implementation ( cri ) is “ the industry ’ s first open platform for ids and ips testing. ” for you real-world purists out there and for those who don ’ t have any experience with any of this just quite yet , it ’ s important to note that no automated testing suite provides anything close to the results you ’ d gain from a real pen test . core impact provides a one-step automated pen test result feature ( and probably offers the best result and report features ) , metasploit offers autopwn , and canvas has a similar “ run everything ” mode ; however , all lack the ability to provide results that a true pen test would provide . in the truest sense of “ automated pen testing , ” you simply can ’ t do it in the real world ( for your exam , stick with the three listed here ) ."
C,C,which of the following best describes an assessment against a network segment that tests for existing vulnerabilities but does not attempt to exploit any of them ? a . penetration test b . partial penetration test c. vulnerability assessment d. security audit,"the correct answer is c. a vulnerability assessment is exactly what it sounds like : the search for and identification of potentially exploitable vulnerabilities on a system or network . these vulnerabilities can be poor security configurations , missing patches , or any number of other weaknesses a bad guy might exploit . the two keys to a vulnerability assessment are that the vulnerabilities are identified , not exploited , and the report is simply a snapshot in time . the organization will need to determine how often it wants to run a vulnerability assessment . lastly , it ’ s important to note that there are some vulnerabilities that simply can ’ t be confirmed without exploiting them . for example , the act of infecting sql statements to expose an sql injection vulnerability may very well constitute an exploit action , but it ’ s the only way to prove it exists . for your exam , though , stick with no exploitation during this assessment and move on with your life ."
C,C,"you are a member of a pen test team conducting tests . your team has all necessary scope , terms of engagement , and nondisclosure and service level agreements in place . you gain access to an employee ’ s system , and during further testing discover child pornography on a hidden drive folder . which of the following is your best course of action as an ethical hacker ? a . continue testing without notification to anyone , but ensure the information is included in the final out-brief report . b . continue testing without interruption , but completely remove all hidden files and the folder containing the pornography . c. stop testing and notify law enforcement authorities immediately . d. stop testing and remove all evidence of intrusion into the machine .","the correct answer is c. if you ’ ve ever taken any philosophy classes in high school or college , you ’ ve undoubtedly read some of the ethical dilemmas presented to challenge black-and-white thinking on a matter . for example , theft is undoubtedly bad and is recognized as a crime in virtually every law system on the planet , but what if it ’ s the only way to save a child ’ s life ? in ethical hacking , there are fine lines on actions to take when you discover something , and sometimes hard edges where there is no choice in the matter . possession of child porn is a crime , so this case would seem relatively easy to discern . to be fair , and to make the assumption you ’ ll need to on questions like this on the exam , your course of action is straightforward and simple : notify the authorities and let them handle it . in the real world , things might be a little more difficult . how do you really know what you ’ re looking at ? are you positive that what you see is illegal in nature ( regardless of what it is—pornography , documentation , letters , and so on ) ? if you ’ re not and you falsely accuse someone , what kind of liability do you face ? what about your team ? it ’ s not an easy question to answer when you ’ re in the heat of battle , and you ’ ll have to largely depend on good , solid pen test agreements up front . let the client know what actions will be taken when suspected illegal material is discovered , and agree upon actions both sides will take . otherwise you , and your client , could be in for very difficult times ."
A,A,in which phase of a pen test is scanning performed ? a. pre-attack b . attack c. post-attack d. reconnaissance,"the correct answer is a. i know you ’ re sick of ceh definitions , terms , and phases of attacks , but this is another one you ’ ll just need to commit to memory . per ec-council , there are three phases of a pen test : pre-attack , attack , and post-attack . the pre-attack phase is where you ’ d find scanning and other reconnaissance activities ( gathering competitive intelligence , website crawling , and so on ) ."
A,A,which of the following describes risk that remains after all security controls have been implemented to the best of one ’ s ability ? a . residual b . inherent c. deferred d. remaining,"the correct answer is a . risk management has a lot of terminology to remember , and identifying risk before and after security control implementation is what this question is all about . the inherent risk of the system is that which is in place if you implement no security controls whatsoever : in other words , there are risks inherent to every system , application , technology , and service . after you recognize these inherent risks and implement security controls , you may have some residual risks remaining . in other words , residual risk is what is left in the system after you implement security controls ."
"B,C,D","B,C,D","which of the following statements are true regarding osstmm ? ( choose all that apply . ) a. osstmm is a nonprofit , international research initiative dedicated to defining standards in security testing and business integrity testing . b. osstmm recognizes ten types of controls , which are divided into two classes . c. isecom maintains the osstmm . d. osstmm defines three types of compliance .","the correct answer is b , c , d. the open source security testing methodology manual ( osstmm ) provides a methodology for a thorough security test ( also known as an osstmm audit ) . it ’ s maintained by isecom ( institute for security and open methodologies ; www.isecom.org/ ) and is a peer-reviewed manual of security testing and analysis that results in fact-based actions that can be taken by an organization to improve security . osstmm recognizes ten types of controls , split into two different classes : • class a : interactive authentication , indemnification , resilience , subjugation , and continuity • class b : process nonrepudiation , confidentiality , privacy , integrity , and alarm an osstmm audit tests for three different types of compliance : legislative , contractual , and standards-based compliance ."
D,D,which of the following is an open source project produced by oissg ( open information systems security group ) and intended to provide security testing assistance ? a. osstmm b. owasp c. cobit d. issaf,"the correct answer is d. the following is from oissg ’ s site : “ the information systems security assessment framework ( issaf ) is produced by the open information systems security group , and is intended to comprehensively report on the implementation of existing controls to support iec/iso 27001:2005 ( bs7799 ) , sarbanes oxley sox404 , cobit , sas70 and coso , thus adding value to the operational aspects of it related business transformation programmes . it is designed from the ground up to evolve into a comprehensive body of knowledge for organizations seeking independence and neutrality in their security assessment efforts . ”"
A,A,nist sp 800-30 defines steps for conducting a risk assessment . which of the following statements is true regarding the process ? a . threats are identified before vulnerabilities . b . determining the magnitude of impact is the first step . c. likelihood is determined after the risk assessment is complete . d. risk assessment is not a recurring process .,"the correct answer is a. nist sp 800-30 : guide for conducting risk assessments ( url .gov/nistpubs/legacy/sp/nistspecialpublication800-30r1.pdf ) describes in detail how to perform a risk assessment . the publication defines four overall steps for an assessment . even if you knew nothing about this publication , though , you could probably work your way into the correct answer here . of the choices provided , only answer a makes any sense ."
B,B,in which phase of a pen test will the team penetrate the perimeter and acquire targets ? a. pre-attack b . attack c. post-attack d. none of the above,"the correct answer is b. ec-council splits a pen test into three phases : pre-attack , attack , and post-attack . in the attack phase , the team will attempt to penetrate the network perimeter , acquire targets , execute attacks , and elevate privileges . getting past the perimeter might take into account things such as verifying acls by crafting packets as well as checking the use of any covert tunnels inside the organization . attacks such as xss , buffer overflows , and sql injections will be used on web-facing applications and sites . after specific targets are acquired , password cracking , privilege escalation , and a host of other attacks will be carried out ."
A,A,"an organization participates in a real-world exercise designed to test all facets of its security systems . an independent group is hired to assist the organization ’ s security groups , aiding in the defense of assets against the attacks from the attacking group . which of the following statements is true ? a . the group assisting in the defense of the systems is referred to as a blue team . b . the group assisting in the defense of the systems is referred to as a red team . c. the group assisting in the defense of the systems is known as a white-hat group . d. the team attacking the systems must provide all details of any planned attack with the defense group before launching to ensure security measures are tested appropriately","the correct answer is a . many organizations run full “ war game ” scenarios , which include defense and attack groups , to test security measures . generally speaking , the group doing the attacking is known as a red team , while the group assisting with the defense is known as a blue team . the red team is the offense-minded group , simulating the bad guys in the world , actively attacking and exploiting everything they can find in the environment . in a traditional war game scenario , the red team is attacking “ black-box ” style , given little to no information to start things off . a blue team , on the other hand , is defensive in nature . the members of the blue team are not out attacking things ; rather , they ’ re focused on shoring up defenses and making things safe . unlike red teams , blue teams are responsible for defense against the bad guys , so they usually operate with full knowledge of the internal environment.blue teams are almost always independent in terms of the target , but their goal is to assist the defenders and to do so with whatever information is available . the difference between blue and red in this scenario is in the cooperative versus adversarial nature : red is there to be the bad guys , do what they would do , look for the impacts they would want to have , and to test the organization ’ s defense/response , whereas blue is there to help ."
